Table 2
System Classifications for All 207 of Our Periodic Objects

Name	Color Class	Spectral Class	Binary Class_g	Binary Class_r	Binary Class_i	
SDSS J024053.10+005944.9	M0	M0	ED	ESD/ED	ED	
SDSS J024319.19-010218.1	M4	 sdotsdotsdot 	ESD	ESD	ESD	
SDSS J024446.51+003653.2	M0	 sdotsdotsdot 	ESD	ESD	ESD	
SDSS J024835.93+010520.2	M4	 sdotsdotsdot 	ED*	ED*	ED*	
SDSS J024843.68-010055.3	M1	 sdotsdotsdot 	ED	ED*	ED*	
SDSS J025331.12-000226.0	M2	M2	ED	ED*	ED	
SDSS J025403.75+005854.2	WD	WD	EC*	EC*	EC*	
SDSS J025828.09+004758.7	M2	 sdotsdotsdot 	ED	ED	ED	
SDSS J025953.33-004400.2	M3+WD	M4	EC*	EC	EC	
SDSS J030304.48+004809.4	M1	M1	ED	ED	ED	
SDSS J030402.15+004551.4	M6+WD	M7	EC*	EC	ESD	
SDSS J030834.42+005835.2	M0	 sdotsdotsdot 	ESD	ESD	ESD	
SDSS J030856.55-005450.7	M4+WD	M4	EC	EC	EC	
SDSS J031151.73-000123.6	M3	M4	ED*	ED*	ED*	
SDSS J031442.23+001030.3	M1	 sdotsdotsdot 	EC	EC	EC	
SDSS J031708.46-005846.1	M1	 sdotsdotsdot 	ED	ED*	ED*	
SDSS J031820.88-003131.0	M2	 sdotsdotsdot 	ED	ED	ED	
SDSS J031858.28+002325.6	WD	WD	EC/ESD	EC/ESD	EC/ESD	
SDSS J032048.68+003234.0	M0	 sdotsdotsdot 	ED*	ED	ED*	
SDSS J032325.85+010634.9	M2	 sdotsdotsdot 	ESD	ED	ED	
SDSS J032413.10+000441.7	M1	 sdotsdotsdot 	ESD	ESD	ESD	
SDSS J032515.05-010239.7	M2	M3	ED	ED	ED	
SDSS J032949.17-001240.8	M1+WD	M0	ED	ED	ED*	
SDSS J033031.37-000137.5	M4	 sdotsdotsdot 	EC/ESD	ESD	ESD	
SDSS J033513.80+004252.8	M2+WD	M1+WD	EC/ESD	EC/ESD	EC/ESD	
SDSS J033606.30+004959.4	M1	 sdotsdotsdot 	ESD	ESD	ESD	
SDSS J034302.81+010935.6	M0	 sdotsdotsdot 	ED	ED	ED	
SDSS J034748.36+002604.6	M2	 sdotsdotsdot 	ED*	ED*	ED	
SDSS J035003.61+000311.4	M3	 sdotsdotsdot 	EC	EC	EC/ESD	
SDSS J035300.50+004835.9	M4+WD	 sdotsdotsdot 	EC	EC	EC	
SDSS J035325.66+000220.3	M3	 sdotsdotsdot 	ED	ED	ED*	
SDSS J035856.16+004010.2	M4	 sdotsdotsdot 	EC	EC	EC	
SDSS J040034.93-003816.2	M4	 sdotsdotsdot 	EC	EC	EC	
SDSS J040054.13+005743.8	M3+WD	 sdotsdotsdot 	EC	ESD	ED*	
SDSS J040104.52-004409.8	M4	 sdotsdotsdot 	ESD/ED	ESD	ESD	
SDSS J040111.09-002959.1	M4	 sdotsdotsdot 	ED*	ED	ED	

Notes. Mean colors are used to estimate a color-based classification using the M dwarf color-spectral-type relationships of Kowalski et al. (2009). Systems with u - g < 1.8 also likely contain a white dwarf (WD). Twenty-nine of the systems have spectra available from SDSS, and are used to make a spectral classification using the software of Covey et al. (2007). Finally, we use the folded light-curve shape-based methods of Pojmanski (2002) and Rucinski (1997) to constrain the geometry of the system using the g-, r-, and i-band data. This binary class may be eclipsing (EC, EC*), semi-detached (ESD), or detached (ED, ED*). We have highest confidence in the classification of those systems where Binary Classg = Binary Classr = Binary Classi, which represent the subset of systems used in the analysis of Section 5.
