#Catalina_Surveys_ID Numerical_ID ra dec V_(mag) Period_(days) Amplitude Number_Obs Var_Type ra_deg dec_deg
CSS_J223927.2-013656 1001121025822 22:39:27.28 -01:36:56.7 12.93 0.430347 0.4 269 1 339.863666667 -0.38425
CSS_J223941.5-005245 1001121042354 22:39:41.59 -00:52:45.1 14.4 0.253706 0.35 269 1 339.923291667 0.879194444444
CSS_J223948.8-011550 1001121033271 22:39:48.82 -01:15:50.7 16.3 0.247302 0.11 269 1 339.953416667 -0.735916666667
CSS_J224105.4-003717 1001121047873 22:41:05.45 -00:37:17.4 15.08 0.28247 0.62 211 1 340.272708333 0.6215
CSS_J224116.7-014137 1001122024868 22:41:16.74 -01:41:37.4 16.89 0.250372 0.23 250 1 340.31975 -0.306277777778
CSS_J224214.6-011944 1001122032872 22:42:14.65 -01:19:44.1 15.83 0.610227 0.78 250 2 340.561041667 -0.671083333333
CSS_J224217.4-012100 1001122032502 22:42:17.47 -01:21:00.2 13.94 0.286164 0.18 249 1 340.572791667 -0.649944444444
CSS_J224232.0-013952 1001122025501 22:42:32.03 -01:39:52.3 16.88 0.241576 0.2 250 1 340.633458333 -0.335472222222
CSS_J224349.3+000425 1101122002083 22:43:49.37 +00:04:25.7 15.89 0.263007 0.14 277 1 340.955708333 0.0738055555556
CSS_J224410.0+005853 1101122022342 22:44:10.07 +00:58:53.5 12.52 0.284672 0.3 277 1 341.041958333 0.981527777778
CSS_J224508.2-001812 1001122054589 22:45:08.28 -00:18:12.3 13.23 0.364893 0.27 250 1 341.2845 0.303416666667
CSS_J224519.0-011900 1001122032955 22:45:19.08 -01:19:00.1 18.32 0.3622218 0.28 244 5 341.3295 -0.683305555556
CSS_J224627.3-001626 1001122054860 22:46:27.30 -00:16:26.9 17.47 0.2623338 0.25 250 5 341.61375 0.274138888889
CSS_J224630.2+010018 1101122022478 22:46:30.22 +01:00:18.6 15.65 0.5377500 0.4 277 1 341.625916667 1.00516666667
CSS_J224723.3-013449 1001122027357 22:47:23.31 -01:34:49.4 18.4 0.60942 0.91 242 4 341.847125 -0.419611111111
CSS_J224746.8-025042 1004122057816 22:47:46.83 -02:50:42.2 14.05 0.556236 0.2 178 1 341.945125 -1.15494444444
CSS_J224751.4+002913 1101122011044 22:47:51.47 +00:29:13.4 14.95 0.25325 0.12 277 1 341.964458333 0.487055555556
CSS_J224828.6-015159 1001122020901 22:48:28.69 -01:51:59.1 17.11 0.31256 0.25 249 1 342.119541667 -0.133583333333
CSS_J224842.3-005150 1001122042387 22:48:42.34 -00:51:50.9 15.53 1.96692 0.13 250 1 342.176416667 0.864138888889
CSS_J224857.5-012319 1001122031629 22:48:57.58 -01:23:19.7 16.6 0.3174079 0.48 250 5 342.239916667 -0.611194444444
CSS_J224942.9+004601 1101122017230 22:49:42.97 +00:46:01.3 13.31 0.30163 0.7 277 1 342.429041667 0.767027777778
CSS_J225038.6+010720 1101122024816 22:50:38.68 +01:07:20.4 18.53 0.4081342 0.37 277 5 342.661166667 1.12233333333
CSS_J225224.9-014054 1001122025075 22:52:24.99 -01:40:54.5 17.51 0.371758 0.44 146 1 343.104125 -0.318194444444
CSS_J225237.3+004421 1101123016009 22:52:37.37 +00:44:21.8 15.34 63.8815 0.16 260 8 343.155708333 0.739388888889
CSS_J225324.6-011404 1001123032314 22:53:24.69 -01:14:04.7 13.97 0.395705 0.38 238 1 343.352875 -0.765361111111
CSS_J225345.2-024855 1001123000687 22:53:45.28 -02:48:55.9 13.82 2.25335 0.64 180 9 343.438666667 -1.18447222222
CSS_J225424.8+004828 1101123017568 22:54:24.89 +00:48:28.7 15.1 5.83152 0.31 260 2 343.603708333 0.807972222222
CSS_J225520.2+010324 1101123022777 22:55:20.20 +01:03:24.8 16.42 0.321404 0.48 260 1 343.834166667 1.05688888889
CSS_J225550.0-024408 1001123002156 22:55:50.01 -02:44:08.3 15.56 0.40822 0.87 236 1 343.958375 -1.26436111111
CSS_J225621.1-003426 1001123046024 22:56:21.13 -00:34:26.9 14.68 0.339595 0.44 242 5 344.088041667 0.574138888889
CSS_J225638.4-005218 1001123040053 22:56:38.46 -00:52:18.4 13.61 6.3055124 0.11 242 8 344.16025 0.871777777778
CSS_J225643.9-025622 1004123051601 22:56:43.91 -02:56:22.3 15.51 1.1710808 0.1 248 1 344.182958333 -1.06047222222
CSS_J225706.2+011322 1101123026834 22:57:06.21 +01:13:22.3 15.12 0.569834 0.08 260 1 344.275875 1.22286111111
CSS_J225708.6-013459 1001123024940 22:57:08.63 -01:34:59.4 16.07 0.30928 0.35 242 1 344.285958333 -0.416833333333
CSS_J225713.3-005522 1001123038806 22:57:13.32 -00:55:22.9 14.85 0.525416 0.29 242 1 344.3055 0.923027777778
CSS_J225805.6-015059 1001123019617 22:58:05.65 -01:50:59.0 17.2 0.29157 0.44 242 5 344.523541667 -0.150277777778
CSS_J225808.5-000311 1001123054828 22:58:08.52 -00:03:11.0 16.22 0.2408348 0.67 214 1 344.5355 0.0530555555556
CSS_J225809.2+005216 1101123018892 22:58:09.28 +00:52:16.9 15.82 0.2827404 0.39 260 5 344.538666667 0.871361111111
CSS_J230020.7-001710 1001123051790 23:00:20.72 -00:17:10.6 14.7 0.7394568 0.45 241 2 345.086333333 0.286277777778
CSS_J230109.2-012644 1001123027902 23:01:09.26 -01:26:44.9 14.3 0.304208 0.29 242 1 345.288583333 -0.554194444444
CSS_J230127.0-014832 1001123020452 23:01:27.03 -01:48:32.9 14.46 10.6215 0.12 242 1 345.362625 -0.190861111111
CSS_J230133.9-001912 1001123051042 23:01:33.99 -00:19:12.1 16.09 0.5526199 0.59 242 2 345.391625 0.320027777778
CSS_J230244.5-013054 1001123026252 23:02:44.59 -01:30:54.0 16.39 0.322885 0.37 242 5 345.685791667 -0.485
CSS_J230305.0+003449 1101123012659 23:03:05.06 +00:34:49.9 16.37 0.342123 0.32 260 6 345.771083333 0.580527777778
CSS_J230434.9-013743 1001124023937 23:04:34.91 -01:37:43.3 16.85 0.855042 0.18 232 2 346.145458333 -0.371305555556
CSS_J230602.1-012800 1001124027302 23:06:02.14 -01:28:00.1 17.88 0.463155 0.2 231 2 346.508916667 -0.533305555556
CSS_J230627.7-001440 1001124052854 23:06:27.72 -00:14:40.3 15.89 0.350849 0.42 232 5 346.6155 0.244527777778
CSS_J230707.8-011857 1001124030408 23:07:07.81 -01:18:57.6 17.63 0.274376 0.21 236 1 346.782541667 -0.684
CSS_J230713.7-004744 1001124041429 23:07:13.72 -00:47:44.5 17.51 0.7816 0.65 236 2 346.807166667 0.795694444444
CSS_J230846.5+000956 1101124003770 23:08:46.56 +00:09:56.2 15.21 0.277512 0.25 251 1 347.194 0.165611111111
CSS_J230943.4-002918 1001124047772 23:09:43.49 -00:29:18.7 17.74 0.3286925 0.46 236 5 347.431208333 0.488527777778
CSS_J231022.4+011123 1101124024432 23:10:22.47 +01:11:23.3 17.06 0.4562722 0.41 248 1 347.593625 1.18980555556
CSS_J231107.9-000836 1001124056185 23:11:07.90 -00:08:36.4 16.97 0.246564 0.55 236 1 347.782916667 0.143444444444
CSS_J231328.0-014644 1001124020926 23:13:28.07 -01:46:44.7 16.23 0.302112 0.46 236 1 348.366958333 -0.220916666667
CSS_J231350.5-025954 1004124057021 23:13:50.50 -02:59:54.3 17.55 0.3813417 0.41 243 5 348.460416667 -1.00158333333
CSS_J231404.9-001833 1001124051613 23:14:04.95 -00:18:33.6 16.53 0.3351354 0.41 236 5 348.520625 0.309333333333
CSS_J231434.4-012449 1001124028406 23:14:34.41 -01:24:49.6 16.42 0.456459 0.33 233 2 348.643375 -0.586222222222
CSS_J231505.3-010617 1001125033831 23:15:05.38 -01:06:17.8 13.69 0.229588 0.27 240 1 348.772416667 -0.895055555556
CSS_J231526.5-012228 1001125027932 23:15:26.57 -01:22:28.9 17.57 1.50201 1.16 240 9 348.860708333 -0.625305555556
CSS_J231618.2+011036 1101125023384 23:16:18.29 +01:10:36.5 14.89 0.46451 0.62 233 1 349.076208333 1.17680555556
CSS_J231709.3-003548 1001125044295 23:17:09.30 -00:35:48.1 12.07 0.332194 0.36 244 1 349.28875 0.596694444444
CSS_J231823.9-004415 1001125040898 23:18:23.92 -00:44:15.2 19.01 0.21752 0.36 239 1 349.599666667 0.737555555556
CSS_J231827.6-014910 1001125019103 23:18:27.67 -01:49:10.9 15.23 0.4143618 0.38 248 5 349.615291667 -0.180305555556
CSS_J231830.0-011726 1001125030069 23:18:30.02 -01:17:26.7 13.7 0.28282 0.21 248 1 349.625083333 -0.70925
CSS_J231955.2-001111 1001125052717 23:19:55.27 -00:11:11.8 17.14 0.6177148 0.17 316 4 349.980291667 0.186611111111
CSS_J232028.0+000531 1101125002035 23:20:28.06 +00:05:31.5 17.05 0.64275 0.18 233 4 350.116916667 0.0920833333333
CSS_J232038.0+004515 1101125014637 23:20:38.02 +00:45:15.1 14.8 0.287013 0.63 234 1 350.158416667 0.754194444444
CSS_J232244.5+004451 1101125014483 23:22:44.58 +00:44:51.5 15.29 0.255838 0.35 234 1 350.68575 0.747638888889
CSS_J232340.9-012422 1001125027343 23:23:40.90 -01:24:22.2 16.17 0.306822 0.19 248 1 350.920416667 -0.593833333333
CSS_J232348.2-003417 1001125044374 23:23:48.25 -00:34:17.7 13.02 0.511034 0.21 248 1 350.951041667 0.571583333333
CSS_J232435.1-000212 1001125054600 23:24:35.13 -00:02:12.4 17.62 0.281366 0.44 222 1 351.146375 0.0367777777778
CSS_J232615.2+000334 1101126001639 23:26:15.27 +00:03:34.6 16.76 0.2912907 0.29 209 5 351.563625 0.0596111111111
CSS_J232641.1+004744 1101126016074 23:26:41.19 +00:47:44.1 15.61 0.766884 0.29 227 2 351.671625 0.795583333333
CSS_J232839.2+010142 1101126021018 23:28:39.28 +01:01:42.9 15.4 0.4324260 0.35 231 5 352.163666667 1.02858333333
CSS_J232913.2-013118 1001126025687 23:29:13.22 -01:31:18.8 15.51 4.3823471 0.33 226 8 352.305083333 -0.478111111111
CSS_J232957.2-014300 1001126021658 23:29:57.28 -01:43:00.1 17.88 0.3099651 0.5 225 5 352.488666667 -0.283305555556
CSS_J233003.4-024818 1001126001044 23:30:03.45 -02:48:18.2 13.4 0.326358 0.17 172 1 352.514375 -1.19494444444
CSS_J233103.7+010339 1101126021705 23:31:03.78 +01:03:39.1 16.67 0.4982916 1.17 287 4 352.76575 1.06086111111
CSS_J233106.1-004330 1001126041976 23:31:06.10 -00:43:30.6 16.87 0.252898 0.33 230 1 352.775416667 0.725166666667
CSS_J233246.8-015150 1001126018683 23:32:46.82 -01:51:50.2 17.83 0.6383091 0.32 226 4 353.195083333 -0.136055555556
CSS_J233312.3+011225 1101126024424 23:33:12.31 +01:12:25.3 17.77 0.294114 0.31 231 1 353.301291667 1.20702777778
CSS_J233342.3-012939 1001126026286 23:33:42.38 -01:29:39.3 15.26 0.385556 0.47 230 1 353.426583333 -0.50575
CSS_J233403.0-003400 1001126045161 23:34:03.09 -00:34:00.3 17.47 0.6261693 0.27 279 4 353.512875 0.56675
CSS_J233408.7+002704 1101126008974 23:34:08.75 +00:27:04.7 18.94 0.235548 0.63 223 1 353.536458333 0.451305555556
CSS_J233436.6-013209 1001126025491 23:34:36.64 -01:32:09.2 14.17 0.324481 0.32 230 1 353.652666667 -0.464111111111
CSS_J233450.0+001236 1101126004404 23:34:50.00 +00:12:36.2 17.06 0.4128505 0.35 231 1 353.708333333 0.210055555556
CSS_J233511.5+003256 1101126011082 23:35:11.53 +00:32:56.2 15.84 1.29473 0.28 231 2 353.798041667 0.548944444444
CSS_J233520.9-002150 1001126049482 23:35:20.90 -00:21:50.2 13.55 0.363187 0.17 230 1 353.837083333 0.363944444444
CSS_J233636.3+004223 1101126014425 23:36:36.31 +00:42:23.6 14.02 0.335319 0.1 231 1 354.151291667 0.706555555556
CSS_J233655.0+000602 1101126002410 23:36:55.07 +00:06:02.4 14.72 0.260144 0.13 227 1 354.229458333 0.100666666667
CSS_J233832.5+005123 1101127017362 23:38:32.53 +00:51:23.6 19.21 0.2753533 0.43 197 5 354.635541667 0.856555555556
CSS_J234118.8+004255 1101127014653 23:41:18.82 +00:42:55.0 14.53 0.107023 0.22 208 11 355.328416667 0.715277777778
CSS_J234207.3+003253 1101127011298 23:42:07.31 +00:32:53.0 14.74 0.417492 0.4 208 5 355.530458333 0.548055555556
CSS_J234331.2-010354 1001127036441 23:43:31.21 -01:03:54.4 14.19 1.13869 0.17 226 2 355.880041667 -0.934888888889
CSS_J234359.3+002713 1101127009411 23:43:59.33 +00:27:13.5 13.68 0.383139 0.32 208 1 355.997208333 0.45375
CSS_J234439.1-014831 1001127021684 23:44:39.12 -01:48:31.0 12.54 0.38325 0.27 226 5 356.163 -0.191388888889
CSS_J234442.4-012850 1001127028292 23:44:42.49 -01:28:50.5 13.72 0.36411 0.26 226 1 356.177041667 -0.519305555556
CSS_J234447.6+010010 1101127020608 23:44:47.62 +01:00:10.5 14.17 0.284731 0.35 208 1 356.198416667 1.00291666667
CSS_J234508.1-004236 1001127042976 23:45:08.14 -00:42:36.2 13.26 0.392834 0.42 226 1 356.283916667 0.710055555556
CSS_J234515.9-001914 1001127050064 23:45:15.97 -00:19:14.7 16.31 0.319008 0.27 226 1 356.316541667 0.32075
CSS_J234554.3-003131 1001127046283 23:45:54.31 -00:31:31.1 15.58 0.6925560 0.45 226 2 356.476291667 0.525305555556
CSS_J234728.8+001026 1101127003672 23:47:28.80 +00:10:26.9 15.68 0.29859 0.68 208 1 356.87 0.174138888889
CSS_J234800.9+005359 1101127018333 23:48:00.93 +00:53:59.7 17.31 0.250896 0.39 208 1 357.003875 0.899916666667
CSS_J234939.6-004257 1001128038134 23:49:39.69 -00:42:57.1 16.41 0.491392 0.34 180 2 357.415375 0.715861111111
CSS_J234952.4-012059 1001128026903 23:49:52.45 -01:20:59.4 16.68 1.76549 0.83 181 2 357.468541667 -0.650166666667
CSS_J235007.1+004631 1101128014308 23:50:07.18 +00:46:31.0 16.82 0.2787181 0.25 109 5 357.529916667 0.775277777778
CSS_J235102.7-005547 1001128034823 23:51:02.73 -00:55:47.0 12.96 0.521584 0.44 180 1 357.761375 0.929722222222
CSS_J235108.0-010925 1001128030615 23:51:08.06 -01:09:25.0 14.63 0.311143 0.58 180 1 357.783583333 -0.843055555556
CSS_J235415.5+010833 1101128021613 23:54:15.55 +01:08:33.9 14.71 0.297014 0.39 109 1 358.564791667 1.14275
CSS_J235502.5+004807 1101128014943 23:55:02.50 +00:48:07.4 15.57 0.271886 0.49 109 1 358.760416667 0.802055555556
CSS_J235740.1+005251 1101128016411 23:57:40.10 +00:52:51.6 14.63 0.303798 0.31 109 1 359.417083333 0.881
CSS_J235742.1-015022 1001128017680 23:57:42.15 -01:50:22.2 14.9 0.30011 0.25 180 5 359.425625 -0.1605
