,ID,Color,Amplitude
575,1081681,z,1.452
576,1081763,z,2.3555
577,1081775,z,2.293
578,1082057,z,3.58
579,1082200,z,0.4655
580,1082202,z,1.561
581,1082456,z,3.001
582,1082517,z,1.2295
583,1083022,z,0.9295
584,1083047,z,1.541
585,1083438,z,1.5135
586,1083441,z,3.4745
587,1083600,z,2.1915
588,1083646,z,1.255
589,1083654,z,0.8765
590,1083792,z,3.4505
591,108391,z,3.468
592,108420,i,3.0035
593,1084336,z,3.009
594,1084440,z,2.877
595,1084483,z,3.1655
596,1084509,i,0.6995
597,1084685,r,1.0575
598,1084797,z,2.803
599,1084870,z,4.2695
600,1084972,z,0.7625
601,1084975,i,1.8205
602,1085060,z,2.3045
603,108509,z,3.5735
604,1085173,z,3.4115
605,1085413,z,3.9115
606,108547,z,2.692
607,1085498,i,0.394
608,1085587,z,1.55
609,1085589,z,0.8895
610,1086189,z,1.944
611,1086512,z,1.615
612,1086807,z,1.3865
613,1086858,z,0.6595
614,1087007,z,3.2475
615,1087029,z,3.2985
616,1087206,i,1.583
617,1087262,z,2.6995
618,1087654,z,0.9115
619,1087888,z,3.681
620,1088385,z,2.12
621,1088412,i,1.2595
622,1088473,z,0.5945
623,1088481,i,0.559
624,1088567,z,1.4405
625,1088731,z,1.131
626,1088836,z,2.8455
627,1088861,i,1.8275
628,1089134,z,2.1095
629,1089335,z,1.454
630,1089405,z,1.3915
631,1089406,i,0.7315
632,1089624,z,0.88
633,1089811,z,0.6075
634,1089839,z,1.655
635,1090281,z,0.52
636,1090352,z,3.2995
637,1090497,z,2.5575
638,1090642,z,3.2695
639,1091003,z,1.016
640,1091047,i,0.6185
641,1091048,i,0.811
642,1091258,z,3.3085
643,1091293,z,2.291
644,1091322,z,3.185
645,1091627,r,0.9155
646,1091853,z,1.1225
647,1092331,z,1.6495
648,1092425,z,3.597
649,1092597,r,0.4625
650,1092650,z,1.24
651,1092830,z,1.974
652,1093305,z,2.6235
653,1093346,i,1.7435
654,1093570,r,0.5995
655,1093653,z,1.7595
656,1093722,z,1.2425
657,1093840,z,3.79
658,1094241,z,3.3285
659,1094320,z,2.6485
660,1094484,z,1.33
661,1094549,z,2.572
662,1094710,i,0.5205
663,1094715,z,3.832
664,1094741,z,0.8045
665,1095049,r,0.512
